Parameterkürzel,Kurzbeschreibung,Beschreibung,Einheit
tlmax_mittel,Lufttemperatur 2m Mittelwert der Maximalwerte,"Lufttemperatur in 2m Höhe, Monats-Mittelwert aller 24-Stunden-Maximalwerte",°C
tlmax_mittel_flag,Qualitätsflag für Lufttemperatur 2m Mittelwert der Maximalwerte,"Qualitätsflag für Lufttemperatur in 2m Höhe, Monats-Mittelwert aller 24-Stunden-Maximalwerte",code
tlmin,Lufttemperatur 2m Minimalwert,"Lufttemperatur in 2m Höhe, Monats-Minimum aus 24-Stunden-Minimalwerten",°C
tlmin_flag,Qualitätsflag für Lufttemperatur 2m Minimalwert,"Qualitätsflag für Lufttemperatur in 2m Höhe, Monats-Minimum aus 24-Stunden-Minimalwerten",code
tlmin_mittel,Lufttemperatur 2m Mittelwert der Minimalwerte,"Lufttemperatur in 2m Höhe, Monats-Mittelwert aller 24-Stunden-Minimalwerte",°C
tlmin_mittel_flag,Qualitätsflag für Lufttemperatur 2m Mittelwert der Minimalwerte,"Qualitätsflag für Lufttemperatur in 2m Höhe, Monats-Mittelwert aller 24-Stunden-Minimalwerte",code
tl_mittel,Lufttemperatur 2m Mittelwert aus Termin- und Extremwerten,"Lufttemperatur in 2m Höhe, Monats-Mittelwert aus Termin- und Extremwerten",°C
tl_mittel_flag,Qualitätsflag für Lufttemperatur 2m Mittelwert aus Termin- und Extremwerten,"Qualitätsflag für Lufttemperatur in 2m Höhe, Monats-Mittelwert aus Termin- und Extremwerten",code
tp_mittel,Taupunkttemperatur Mittelwert,Monatsmittel der Taupunkttemperatur (aus allen Terminwerten),°C
tp_mittel_flag,Qualitätsflag für Taupunkttemperatur Mittelwert,Qualitätsflag für Monatsmittel der Taupunkttemperatur (aus allen Terminwerten),code
tsmin,Lufttemperatur 5cm Minimalwert aller Nachtminimalwerte,"Lufttemperatur in 5cm Höhe, Minimum aller Nachtminimalwerte",°C
tsmin_flag,Qualitätsflag für Lufttemperatur 5cm Minimalwert aller Nachtminimalwerte,"Qualitätsflag für Lufttemperatur in 5cm Höhe, Minimum aller Nachtminimalwerte",code
tsmin_mittel,Lufttemperatur 5cm Mittelwert aller Nachtminimalwerte,"Lufttemperatur in 5cm Höhe, Mittelwert aller Nachtminimalwerte",°C
tsmin_mittel_flag,Qualitätsflag für Lufttemperatur 5cm Mittelwert aller Nachtminimalwerte,"Qualitätsflag für Lufttemperatur in 5cm Höhe, Mittelwert aller Nachtminimalwerte",code
vv_mittel,Windgeschwindigkeit Mittelwert,"Windgeschwindigkeit, Monats-Mittelwert aus 24-Stunden-Mittelwerten",m/s
vv_mittel_flag,Qualitätsflag für Windgeschwindigkeit Mittelwert,"Qualitätsflag für Windgeschwindigkeit, Monats-Mittelwert aus 24-Stunden-Mittelwerten",code
