Parameterkürzel,Kurzbeschreibung,Beschreibung,Einheit
tag_tb110_max_flag,Qualitätsflag für Erdbodentemperatur -110cm Tag Maximalwert,"Qualitätsflag für Erdbodentemperatur in 110 cm Tiefe, Tag des Maximums der Stundenwerte",code
tag_tb110_min,Erdbodentemperatur -110cm Tag Minimalwert,"Erdbodentemperatur in 110 cm Tiefe, Tag des Minimums der Stundenwerte", 
tag_tb110_min_flag,Qualitätsflag für Erdbodentemperatur -110cm Tag Minimalwert,"Qualitätsflag für Erdbodentemperatur in 110 cm Tiefe, Tag des Minimums der Stundenwerte",code
tag_tb15_max,Erdbodentemperatur -15cm Tag Maximalwert,"Erdbodentemperatur in 15 cm Tiefe, Tag des Maximums der Stundenwerte", 
tag_tb15_max_flag,Qualitätsflag für Erdbodentemperatur -15cm Tag Maximalwert,"Qualitätsflag für Erdbodentemperatur in 15 cm Tiefe, Tag des Maximums der Stundenwerte",code
tag_tb15_min,Erdbodentemperatur -15cm Tag Minimalwert,"Erdbodentemperatur in 15 cm Tiefe, Tag des Minimums der Stundenwerte", 
tag_tb15_min_flag,Qualitätsflag für Erdbodentemperatur -15cm Tag Minimalwert,"Qualitätsflag für Erdbodentemperatur in 15 cm Tiefe, Tag des Minimums der Stundenwerte",code
tag_tb200_min,Erdbodentemperatur -200cm Tag Minimalwert,"Erdbodentemperatur in 200 cm Tiefe, Tag des Minimums der Stundenwerte", 
tag_tb200_min_flag,Qualitätsflag für Erdbodentemperatur -200cm Tag Minimalwert,"Qualitätsflag für Erdbodentemperatur in 200 cm Tiefe, Tag des Minimums der Stundenwerte",code
tag_tb20_max,Erdbodentemperatur -20cm Tag Maximalwert,"Erdbodentemperatur in 20 cm Tiefe, Tag des Maximums der Stundenwerte", 
tag_tb20_max_flag,Qualitätsflag für Erdbodentemperatur -20cm Tag Maximalwert,"Qualitätsflag für Erdbodentemperatur in 20 cm Tiefe, Tag des Maximums der Stundenwerte",code
tag_tb20_min,Erdbodentemperatur -20cm Tag Minimalwert,"Erdbodentemperatur in 20 cm Tiefe, Tag des Minimums der Stundenwerte", 
tag_tb20_min_flag,Qualitätsflag für Erdbodentemperatur -20cm Tag Minimalwert,"Qualitätsflag für Erdbodentemperatur in 20 cm Tiefe, Tag des Minimums der Stundenwerte",code
tag_tb2_max,Erdbodentemperatur -2cm Tag Maximalwert,"Erdbodentemperatur in 2 cm Tiefe, Tag des Maximums der Stundenwerte", 
tag_tb2_max_flag,Qualitätsflag für Erdbodentemperatur -2cm Tag Maximalwert,"Qualitätsflag für Erdbodentemperatur in 2 cm Tiefe, Tag des Maximums der Stundenwerte",code
tag_tb2_min,Erdbodentemperatur -2cm Tag Minimalwert,"Erdbodentemperatur in 2 cm Tiefe, Tag des Minimums der Stundenwerte", 
tag_tb2_min_flag,Qualitätsflag für Erdbodentemperatur -2cm Tag Minimalwert,"Qualitätsflag für Erdbodentemperatur in 2 cm Tiefe, Tag des Minimums der Stundenwerte",code
tag_tb30_max,Erdbodentemperatur -30cm Tag Maximalwert,"Erdbodentemperatur in 30 cm Tiefe, Tag des Maximums der Stundenwerte", 
tag_tb30_max_flag,Qualitätsflag für Erdbodentemperatur -30cm Tag Maximalwert,"Qualitätsflag für Erdbodentemperatur in 30 cm Tiefe, Tag des Maximums der Stundenwerte",code
tag_tb30_min,Erdbodentemperatur -30cm Tag Minimalwert,"Erdbodentemperatur in 30 cm Tiefe, Tag des Minimums der Stundenwerte", 
tag_tb30_min_flag,Qualitätsflag für Erdbodentemperatur -30cm Tag Minimalwert,"Qualitätsflag für Erdbodentemperatur in 30 cm Tiefe, Tag des Minimums der Stundenwerte",code
tag_tb40_max,Erdbodentemperatur -40cm Tag Maximalwert,"Erdbodentemperatur in 40 cm Tiefe, Tag des Maximums der Stundenwerte", 
tag_tb40_max_flag,Qualitätsflag für Erdbodentemperatur -40cm Tag Maximalwert,"Qualitätsflag für Erdbodentemperatur in 40 cm Tiefe, Tag des Maximums der Stundenwerte",code
tag_tb40_min,Erdbodentemperatur -40cm Tag Minimalwert,"Erdbodentemperatur in 40 cm Tiefe, Tag des Minimums der Stundenwerte", 
tag_tb40_min_flag,Qualitätsflag für Erdbodentemperatur -40cm Tag Minimalwert,"Qualitätsflag für Erdbodentemperatur in 40 cm Tiefe, Tag des Minimums der Stundenwerte",code
tag_tb50_max,Erdbodentemperatur -50cm Tag Maximalwert,"Erdbodentemperatur in 50 cm Tiefe, Tag des Maximums der Stundenwerte", 
tag_tb50_max_flag,Qualitätsflag für Erdbodentemperatur -50cm Tag Maximalwert,"Qualitätsflag für Erdbodentemperatur in 50 cm Tiefe, Tag des Maximums der Stundenwerte",code
tag_tb50_min,Erdbodentemperatur -50cm Tag Minimalwert,"Erdbodentemperatur in 50 cm Tiefe, Tag des Minimums der Stundenwerte", 
tag_tb50_min_flag,Qualitätsflag für Erdbodentemperatur -50cm Tag Minimalwert,"Qualitätsflag für Erdbodentemperatur in 50 cm Tiefe, Tag des Minimums der Stundenwerte",code
tag_tb5_max,Erdbodentemperatur -5cm Tag Maximalwert,"Erdbodentemperatur in 5 cm Tiefe, Tag des Maximums der Stundenwerte", 
tag_tb5_max_flag,Qualitätsflag für Erdbodentemperatur -5cm Tag Maximalwert,"Qualitätsflag für Erdbodentemperatur in 5 cm Tiefe, Tag des Maximums der Stundenwerte",code
tag_tb5_min,Erdbodentemperatur -5cm Tag Minimalwert,"Erdbodentemperatur in 5 cm Tiefe, Tag des Minimums der Stundenwerte", 
tag_tb5_min_flag,Qualitätsflag für Erdbodentemperatur -5cm Tag Minimalwert,"Qualitätsflag für Erdbodentemperatur in 5 cm Tiefe, Tag des Minimums der Stundenwerte",code
tag_tb70_max,Erdbodentemperatur -70cm Tag Maximalwert,"Erdbodentemperatur in 70 cm Tiefe, Tag des Maximums der Stundenwerte", 
tag_tb70_max_flag,Qualitätsflag für Erdbodentemperatur -70cm Tag Maximalwert,"Qualitätsflag für Erdbodentemperatur in 70 cm Tiefe, Tag des Maximums der Stundenwerte",code
tag_tb70_min,Erdbodentemperatur -70cm Tag Minimalwert,"Erdbodentemperatur in 70 cm Tiefe, Tag des Minimums der Stundenwerte", 
tag_tb70_min_flag,Qualitätsflag für Erdbodentemperatur -70cm Tag Minimalwert,"Qualitätsflag für Erdbodentemperatur in 70 cm Tiefe, Tag des Minimums der Stundenwerte",code
tag_tlmax,Lufttemperatur 2m Tag des Maximalwertes,"Lufttemperatur in 2 m Höhe, Tag des Monats-Maximums", 
tag_tlmax_flag,Qualitätsflag für Lufttemperatur 2m Tag des Maximalwertes,"Qualitätsflag für Lufttemperatur in 2 m Höhe, Tag des Monats-Maximums",code
tag_tlmin,Lufttemperatur 2m Tag des Minimalwertes,"Lufttemperatur in 2 m Höhe, Tag des Monats-Minimums", 
tag_tlmin_flag,Qualitätsflag für Lufttemperatur 2m Tag des Minimalwertes,"Qualitätsflag für Lufttemperatur in 2 m Höhe, Tag des Monats-Minimums",code
tag_tsmin,Lufttemperatur 5cm Tag des absoluten Nachtminimums,"Lufttemperatur in 5 cm Höhe, Tag des Monats-Minimums aller Nachtminimalwerte", 
tag_tsmin_flag,Qualitätsflag für Lufttemperatur 5cm Tag des absoluten Nachtminimums,"Qualitätsflag für Lufttemperatur in 5 cm Höhe, Tag des Monats-Minimums aller Nachtminimalwerte",code
tb100_max,Erdbodentemperatur -100cm Maximalwert,"Erdbodentemperatur in 100 cm Tiefe, Monats-Maximum aller Stundenwerte",°C
tb100_max_flag,Qualitätsflag für Erdbodentemperatur -100cm Maximalwert,"Qualitätsflag für Erdbodentemperatur in 100 cm Tiefe, Monats-Maximum aller Stundenwerte",code
tb100_min,Erdbodentemperatur -100cm Minimalwert,"Erdbodentemperatur in 100 cm Tiefe, Monats-Minimum aller Stundenwerte",°C
tb100_min_flag,Qualitätsflag für Erdbodentemperatur -100cm Minimalwert,"Qualitätsflag für Erdbodentemperatur in 100 cm Tiefe, Monats-Minimum aller Stundenwerte",code
tb100_mittel,Erdbodentemperatur -100cm Mittelwert,"Erdbodentemperatur in 100 cm Tiefe, Monats-Mittelwert aller Stundenwerte",°C
tb100_mittel_flag,Qualitätsflag für Erdbodentemperatur -100cm Mittelwert,"Qualitätsflag für Erdbodentemperatur in 100 cm Tiefe, Monats-Mittelwert aller Stundenwerte",code
tb10_max,Erdbodentemperatur -10cm Maximalwert,"Erdbodentemperatur in 10 cm Tiefe, Monats-Maximum aller Stundenwerte",°C
tb10_max_flag,Qualitätsflag für Erdbodentemperatur -10cm Maximalwert,"Qualitätsflag für Erdbodentemperatur in 10 cm Tiefe, Monats-Maximum aller Stundenwerte",code
tb10_min,Erdbodentemperatur -10cm Minimalwert,"Erdbodentemperatur in 10 cm Tiefe, Monats-Minimum aller Stundenwerte",°C
tb10_min_flag,Qualitätsflag für Erdbodentemperatur -10cm Minimalwert,"Qualitätsflag für Erdbodentemperatur in 10 cm Tiefe, Monats-Minimum aller Stundenwerte",code
tb10_mittel,Erdbodentemperatur -10cm Mittelwert,"Erdbodentemperatur in 10 cm Tiefe, Monats-Mittelwert aller Stundenwerte",°C
tb10_mittel_flag,Qualitätsflag für Erdbodentemperatur -10cm Mittelwert,"Qualitätsflag für Erdbodentemperatur in 10 cm Tiefe, Monats-Mittelwert aller Stundenwerte",code
tb110_max,Erdbodentemperatur -110cm Maximalwert,"Erdbodentemperatur in 110 cm Tiefe, Monats-Maximum aller Stundenwerte",°C
